,released_year,released_month,released_day,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
0,2023,7,14,125,80,89,83,31,0,8,4
1,2023,3,23,92,71,61,74,7,0,10,4
2,2023,6,30,138,51,32,53,17,0,31,6
3,2019,8,23,170,55,58,72,11,0,11,15
4,2023,5,18,144,65,23,80,14,63,11,6
5,2023,6,1,141,92,66,58,19,0,8,24
6,2023,3,16,148,67,83,76,48,0,8,3
7,2023,7,7,100,67,26,71,37,0,11,4
8,2023,5,15,130,85,22,62,12,0,28,9
9,2023,3,17,170,81,56,48,21,0,8,33
10,2023,4,17,83,57,56,72,23,0,27,5
11,2023,7,7,150,78,52,82,18,0,15,7
12,2023,1,12,118,71,65,68,6,0,3,7
13,2023,4,14,130,51,32,43,83,0,9,3
14,2022,3,31,174,52,66,73,34,0,31,6
15,2022,12,8,89,64,43,73,5,17,16,4
16,2023,2,24,120,78,76,59,43,0,34,3
17,2023,7,13,78,44,14,9,96,0,10,3
18,2023,3,31,100,86,67,66,14,0,12,16
19,2023,3,24,120,63,36,73,0,0,36,4
20,2023,6,22,140,65,87,74,22,0,42,4
21,2023,7,7,123,69,82,76,6,0,6,3
22,2013,1,1,135,48,44,42,12,2,11,3
23,2023,5,31,133,85,81,67,26,0,12,5
24,2023,6,2,99,85,83,68,7,0,36,20
25,2023,6,22,130,79,96,86,9,0,9,9
26,2022,3,25,107,80,82,80,43,0,14,4
27,2023,6,29,122,81,74,71,14,0,56,4
28,2023,1,31,204,52,52,68,46,0,15,4
29,2023,5,25,110,67,78,85,2,0,33,5
30,2023,7,13,126,74,35,84,0,0,11,6
31,2023,6,28,168,56,63,87,39,0,11,5
32,2022,12,2,98,71,17,61,36,0,8,5
33,2022,10,21,97,64,51,63,12,0,19,5
34,2023,2,23,180,72,61,63,67,0,9,28
35,2023,6,1,120,81,63,68,11,0,11,4
36,2023,4,7,150,61,39,73,37,0,11,3
37,2014,1,1,96,75,57,68,9,0,13,6
38,2014,1,1,95,60,48,79,0,0,12,4
39,2023,5,19,125,79,96,85,27,0,11,6
40,2023,2,10,144,56,84,65,23,0,10,6
41,2018,10,9,90,76,91,50,54,0,7,5
42,2022,8,26,128,56,38,97,4,0,35,4
43,2017,7,21,79,56,58,56,37,0,11,10
44,2023,6,23,144,77,75,58,52,0,23,25
45,2020,11,27,122,67,49,64,10,0,10,3
46,2022,5,13,140,71,82,81,11,0,6,5
47,2016,11,24,134,59,51,52,9,0,15,7
48,2016,9,21,186,68,49,59,16,0,13,28
49,2023,2,24,67,53,50,53,23,0,44,7
50,2023,6,2,106,72,17,64,7,0,10,5
51,2023,4,6,128,60,23,91,0,0,12,3
52,2023,2,24,107,92,55,70,18,0,15,7
53,2023,6,15,130,67,96,88,12,19,8,4
54,2012,10,15,123,45,13,54,70,0,9,4
55,2019,11,29,171,50,38,80,0,0,9,7
56,2023,2,24,137,64,88,72,51,0,17,5
57,2022,5,26,125,84,85,68,58,0,22,4
58,2023,7,14,128,86,42,72,59,0,9,19
59,2020,7,24,130,61,53,58,55,0,27,4
60,2023,5,4,130,86,59,96,50,1,9,5
61,2023,2,3,133,70,86,81,25,0,25,5
62,2022,6,24,101,88,72,59,62,0,9,3
63,2023,3,24,95,77,53,64,74,0,17,14
64,2022,10,6,98,90,40,59,0,0,10,29
65,1999,1,1,173,43,28,66,0,0,23,3
66,2022,10,21,90,64,10,62,7,0,48,7
67,2022,12,2,198,59,71,42,55,0,10,7
68,2023,7,14,140,56,48,73,0,0,35,4
69,2023,7,7,82,51,22,53,1,0,15,3
70,2023,6,23,130,77,84,89,17,0,43,5
71,2020,6,28,81,76,53,53,44,0,9,9
72,2022,7,15,94,51,14,59,65,18,25,3
73,2012,5,14,124,61,41,81,5,2,10,3
74,2022,7,6,128,62,55,78,1,3,23,4
75,2008,1,1,138,49,42,62,9,0,11,3
76,2022,7,17,132,58,27,48,50,0,12,3
77,2022,9,22,131,71,24,47,1,0,27,9
78,2022,12,20,168,78,58,73,5,0,10,7
79,2023,6,22,98,68,40,79,33,0,30,6
80,1975,1,1,102,48,50,73,43,0,15,4
81,2022,4,22,101,34,32,57,78,0,20,3
82,2023,6,23,130,63,36,34,76,0,35,9
83,2023,7,7,142,50,20,64,1,0,12,3
84,2021,7,9,170,59,48,76,4,0,10,5
85,2023,3,3,124,78,70,68,3,1,11,4
86,2018,11,8,110,50,45,41,75,0,11,3
87,2022,5,6,92,91,43,71,9,0,9,8
88,2015,6,22,116,82,40,66,39,51,25,7
89,2012,6,20,129,63,84,82,70,8,9,7
90,2023,3,24,98,71,67,60,19,0,12,3
91,2023,3,17,172,74,76,76,6,0,10,9
92,2023,3,17,150,68,14,76,4,0,10,4
93,2017,11,8,136,62,19,53,11,0,6,4
94,2020,6,5,88,53,34,47,9,0,83,4
95,2023,5,12,143,83,69,44,15,0,10,33
96,2023,3,17,100,49,17,35,71,9,11,3
97,2022,12,9,143,56,39,55,14,0,11,13
98,2011,1,1,112,56,24,66,7,0,12,3
99,2023,6,9,93,62,57,59,3,0,38,3
100,2012,1,1,206,43,50,55,50,0,15,10
101,2022,12,2,88,68,17,71,15,0,11,5
102,2023,4,14,170,50,37,90,0,0,12,5
103,2004,1,1,84,62,24,67,21,0,13,28
104,2023,7,7,134,81,53,72,51,0,12,5
105,2022,4,20,158,54,50,40,61,0,10,6
106,2017,11,10,116,80,92,80,4,0,10,3
107,2017,4,28,117,61,45,69,2,0,9,3
108,2021,3,11,114,77,65,72,2,0,7,5
109,2011,1,1,108,61,47,68,0,0,13,3
110,2012,1,1,144,74,37,53,7,0,21,10
111,2022,12,2,130,51,18,44,76,0,11,3
112,2023,6,22,116,77,79,62,33,1,15,3
113,2023,7,7,121,65,49,78,0,0,17,4
114,1985,2,17,112,64,54,81,36,0,11,6
115,2014,12,9,100,70,47,52,30,0,6,33
116,2023,2,25,150,55,30,78,24,0,12,8
117,2023,2,8,120,84,96,71,18,0,34,17
118,2023,5,12,127,82,89,85,4,0,23,6
119,2020,7,24,90,51,42,61,53,0,9,3
120,2023,6,22,128,75,79,63,33,0,15,4
121,2023,3,10,143,64,31,87,4,4,8,4
122,2022,7,15,139,74,68,68,3,0,26,4
123,2022,12,9,162,49,78,64,19,0,11,4
124,2021,6,11,92,81,39,60,31,0,7,3
125,2022,8,19,95,87,57,55,10,0,29,7
126,2011,8,16,146,63,88,93,3,0,10,8
127,2019,11,17,95,55,56,82,12,0,34,5
128,2017,8,11,115,35,12,30,93,0,10,3
129,2023,6,21,128,78,59,65,10,0,26,5
130,2023,5,15,130,82,69,83,3,0,27,5
131,2023,1,2,127,80,74,77,36,0,11,4
132,2011,1,1,150,42,20,86,21,0,9,9
133,2023,1,11,122,78,50,63,27,0,9,5
134,2007,4,20,140,52,20,85,0,0,7,5
